Presidente;ideologia;data;dia;month;PWR;ACH;AFF;I1;P1
Bolsonaro;direita;15/fev;15;2;0,00550585;0,007570544;0,004129387;0,4286;0,3659
Bolsonaro;direita;20/fev;20;2;0,008354219;0,007518797;0,005012531;0,5238;0,6667
Bolsonaro;direita;03/mar;3;3;0,003512881;0,005854801;0,018735363;1;0,6923
Bolsonaro;direita;09/mar;9;3;0,013394818;0,003513395;0,006148441;0,6216;0,1667
Bolsonaro;direita;10/mar;10;3;0,009593422;0,01096391;0,015532206;0,5833;0,5714
Bolsonaro;direita;10/mar;10;3;0,008064516;0,016129032;0,016129032;1;0,5
Bolsonaro;direita;17/abr;17;4;0,00776699;0,008737864;0,016504854;0,8182;0,5484
Bolsonaro;direita;24/abr;24;4;0,017875075;0,005623619;0,007832898;0,561;0,2296
Bolsonaro;direita;29/abr;29;4;0,007209805;0,005767844;0,022350397;0,6364;0,8065
Bolsonaro;direita;21/mai;21;5;0,014234875;0,009489917;0,018979834;1;0,6471
Bolsonaro;direita;05/jun;5;6;0,007352941;0,004411765;0,020588235;1;0,5789
Bolsonaro;direita;08/jun;8;6;0,025641026;0,017094017;0,012820513;1;1
Bolsonaro;direita;09/jun;9;6;0,006915629;0,005071462;0,007376671;0,8889;0,4091
Bolsonaro;direita;17/jun;17;6;0,004587156;0,005733945;0,01146789;1;0,1
Bolsonaro;direita;17/jul;17;7;0,007861635;0,007861635;0,018867925;1;1
Bolsonaro;direita;22/jun;22;6;0,008139535;0,01744186;0,013953488;1;0,8333
Bolsonaro;direita;22/jun;22;6;0,005102041;0,010204082;0,011479592;0,6667;0,4667
Bolsonaro;direita;25/jun;25;6;0,007407407;0,007407407;0,024691358;1;1
Bolsonaro;direita;30/jun;30;6;0,007352941;0,004411765;0,020588235;1;0,5789
Bolsonaro;direita;02/jul;2;7;0,00753012;0,019578313;0,021084337;0,8333;0,4286
Bolsonaro;direita;16/jul;16;7;0,005434783;0,009057971;0,02173913;0,6;0,8333
Bolsonaro;direita;30/jul;30;7;0,005660377;0,00754717;0,018867925;1;0,6667
